Artist,Song,Wave,Year,Lyrics,Original Lyrics,,
Zolita,Fight Like a Girl,3,2018,"[Verse 1]
I will sleep when I'm dead
A revolution's waking up in my head
You wanna listen what a real girl said
It's a woman's world
Boy I'll stop you right there
Keep tryna shake me but I really don't care
You wanna listen what a real girl said?
It's a woman's world

[Pre-Chorus]
Ain't nobody tell me what to do what to do no
You know I've been breaking all the rules, all the rules oh
Man I really feel like a woman though
Man I really feel like a woman

[Chorus]
I got a lot to say
No time to play, ay, I'm coming for ya
I'll be standing tall
While I watch you fall, ay, you know I'm coming for ya
If you didn't know I fight like a girl, fight like a girl
If you didn't know I fight like a girl, fight like a girl

[Verse 2]
I will always stay woke
I'm making money while you bitches get broke
And I'll be laughing in the end I know
It's a woman's world
Boy I'll make you see
I got the power of Kali in me
Everybody is about to believe
It's a woman's world

[Pre-Chorus]
Ain't nobody tell me what to do what to do no
You know I've been breaking all the rules, all the rules oh
Man, I really feel like a woman though
Man, I really feel like a woman

[Chorus]
I got a lot to say
No time to play, ay, I'm coming for ya
I'll be standing tall
While I watch you fall, ay, you know I'm coming for ya
If you didn't know I fight like a girl, fight like a girl
If you didn't know I fight like a girl, fight like a girl

[Outro]
My body my choice, my rights and my voice (can't grab me by the)
My body my choice, my rights and my voice (can't grab me by the)",,,
Joan Jett & the Blackhearts,Bad Reputation,2,1980,"[Verse 1]
I don't give a damn 'bout my reputation
You're living in the past, it's a new generation
And a girl can do what she wants to do
That's what I'm gonna do

[Chorus]
And I don't give a damn 'bout my bad reputation
Oh no (No, no, no, no, no, no)
Not me (Me, me, me, me, me, me)

[Verse 2]
I don't give a damn 'bout my reputation
Never said I wanted to improve my station
And I'm only doin' good when I'm havin' fun
And I don't have to please no one

[Chorus]
And I don't give a damn 'bout my bad reputation
Oh no (No, no, no, no, no, no)
Not me (Me, me, me, me, me, me)
Oh no (No, no, no, no, no, no)
Not me (Me, me, me, me, me, me)

[Verse 3]
I don't give a damn 'bout my reputation
Never been afraid of any deviation
Don't really care if you think I'm strange
I ain't gonna change
 [Chorus]
And I'm never gonna care 'bout my bad reputation
Oh no (No, no, no, no, no, no)
Not me (Me, me, me, me, me, me)
Oh no (No, no, no, no, no, no)
Not me (Me, me, me, me, me, me)
Alright

[Verse 4]
I don't give a damn 'bout my reputation
The world's in trouble, there's no communication
And everyone can say what they wanna say
It never gets better anyway

[Chorus]
Why should I care about my bad reputation anyway?
Oh no (No, no, no, no, no, no)
Not me (Me, me, me, me, me, me)
Oh no (No, no, no, no, no, no)
Not me (Me, me, me, me, me, me)
Not me (No, no, no, no, no, no)
(Me, me, me)
Not me",,,
Chaka Khan,I'm Every Woman,2,1978,"I'm every woman, it's all in me
Anything you want done, baby, I'll do it naturally
I'm every woman, it's all in me
I can read your thoughts right now, every one from A to Z
Oh oh oh
Oh oh oh
I can cast a spell
With secrets you can't tell
Mix a special brew
Put fire inside of you
But anytime you feel danger or fear
Instantly I will appear
'Cause
I'm every woman, it's all in me
Anything you want done, baby, I'll do it naturally
Oh oh oh
Oh oh oh
I can sense your needs
Like rain on to the seeds
I can make a rhyme
Of confusion in your mind
And when it comes down to some good old fashioned love
That's what I've got plenty of
'Cause
I'm every woman, it's all in me
Anything you want done, baby, I'll do it naturally
I'm every woman, it's all in me
I can read your thoughts right now, every one from A to Z
Oh oh oh
Oh oh oh
I ain't braggin' cause I'm the one
You just ask me, and it shall be done
And don't bother to compare
'Cause I've got it
Oh oh oh
Oh oh oh
Oh oh oh
Ooooh
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman",,,
Paulina,Yo No Soy Esa Mujer,3,2000,"[Verse 1]
You have a false idea of ​​love
It was never a contract or an imposition
And although I love you more and more
In a way you can't even suspect

[Chorus 1]
I am not that woman
Who does not leave the house and who puts the best of his soul at your feet
I will not become the echo of your voice, in a corner
I am not that woman

[Verse 2]
Change the way you think about me
Or you'll see how you won't find me here (you'll find me here)
And even if my heart breaks
I will force you to understand this lesson

[Chorus 2]
I am not that woman
Who does not leave the house and who puts the best of his soul at your feet
I will not become the echo of your voice, in a corner
I am not that woman
That lost girl, the one who signs a paper and gives you her life
You will never see me cry even if I feel like it more than once
I am not that woman

[Bridge]
And even if my heart breaks
I'll force you to understand that lesson

[Chorus 3]
(I am not that woman)
Who does not leave the house and who puts the best of his soul at your feet
(I will not become) What you want, no; in what you prefer, no
That spoiled, spoiled, lost girl
(I am not that woman)
That girl who dances, dances to the sound of your life and your soul
(You will never see me cry)
You'll never see me cry, no, no, no; You'll never see me fall, no, no, no
You will never see me lost, crying, spoiled, oh no

[Chorus 2]
(I am not that woman)
(Who does not leave the house and who puts at your feet) the best of his soul
I will not become the echo of your voice, in a corner
I am not that woman
That lost girl, the one who signs a paper and gives you her life
You will never see me cry even if I feel like it more than once
I am not that woman","[Verso 1]
Tienes una idea falsa del amor
Nunca fue un contrato ni una imposición
Y aunque te quiero cada vez más
De un modo que no puedes ni sospechar

[Coro 1]
Yo no soy esa mujer
Que no sale de casa y que pone a tus pies lo mejor de su alma
No me convertiré en el eco de tu voz, en un rincón
Yo no soy esa mujer

[Verso 2]
Cambia tu manera de pensar en mí
O verás como no me encontrarás aquí (me encontrarás aquí)
Y aunque se rompa mi corazón
Te obligaré a que entiendas esta lección

[Coro 2]
Yo no soy esa mujer
Que no sale de casa y que pone a tus pies lo mejor de su alma
No me convertiré en el eco de tu voz, en un rincón
Yo no soy esa mujer
Esa niña perdida, la que firma un papel y te entrega su vida
Nunca me verás llorar aunque sienta deseos más de una vez
Yo no soy esa mujer

[Puente]
Y aunque se rompa mi corazón
Te obligaré a que entiendas esa lección

[Coro 3]
(Yo no soy esa mujer)
Que no sale de casa y que pone a tus pies lo mejor de su alma
(No me convertiré) En lo que tú quieres, no; en lo que prefieres, no
Esa niña consentida, mimada, perdida
(Yo no soy esa mujer)
Esa chica que baila, baila al son de tu vida y tu alma
(Nunca me verás llorar)
Nunca me verás llorar, no, no, no; nunca me verás caer, no, no, no
Nunca me verás perdida, llorando, consentida, oh, no

[Coro 2]
(Yo no soy esa mujer)
(Que no sale de casa y que pone a tus pies) lo mejor de su alma
No me convertiré en el eco de tu voz, en un rincón
Yo no soy esa mujer
Esa niña perdida, la que firma un papel y te entrega su vida
Nunca me verás llorar aunque sienta deseos más de una vez
Yo no soy esa mujer",,
Marion Harris,There'll Be Some Changes Made,1,1924,NODATA ,,,
Maurice Burkhardt,Since My Margaret Became a Suffragette,1,1912,NODATA ,,,
Billy Murray,Your Mother's Gone Away to Join the Army,1,1913,NODATA ,,,
D. Estabrook,Keep Woman in Her Sphere,1,1882,"Verse 1
I have a neighbor, one of those
Not very hard to find,
Who know it all without debate
And never change their mind.
I asked him “What of women’s rights,”
He said in tones severe-
“My mind on that is all made up,
Keep woman in her sphere.”

Verse 2
I saw a man in tattered garb
Forth from the grog-shop come;
He squandered all his cash for drink,
And starved his wife at home;
I asked him “Should not woman vote?”
He answered with a sneer-
“I’ve taught my wife to know her place.
Keep woman in her sphere.”

Verse 3
I met an earnest, thoughtful man,
Not many days ago,
Who pondered​​​​​​​​​​​​​​​​​​​​​​ deep all human law
The honest truth to know;
I asked him “What of woman’s cause!”
The answer came sincere-
“Her rights are just the same as mine,
Let woman choose her sphere.”​​​​
",,,
Billie Eilish ,What Was I Made For?,3,2023,"[Verse 1]
I used to float, now I just fall down
I used to know, but I'm not sure now
What I was made for
What was I made for?

[Verse 2]
Takin' a drive, I was an ideal
Looked so alive, turns out I'm not real
Just somethin' you paid for
What was I made for?

[Chorus]
'Cause I, I
I don't know how to feel
But I wanna try
I don't know how to feel
But someday, I might
Someday, I might

[Post-Chorus]
Mm, mm, ah
Mm, mm, mm

[Verse 3]
When did it end? All the enjoyment
I'm sad again, don't tell my boyfriend
It's not what he's made for
What was I made for?

[Chorus]
'Cause I, 'cause I
I don't know how to feel
But I wanna try
I don't know how to feel
But someday, I might
Someday, I might

[Outro]
Think I forgot how to be happy
Somethin' I'm not, but somethin' I can be
Somethin' I wait for
Somethin' I'm made for
Somethin' I'm made for",,,
Billie Holiday,You Ain't Gonna Bother Me No More,2,1944,"You ain't gonna bother me no more
Nohow
Love just goes so far
No more
Woke up this morining and found
I didn't care for you no more
Nohow
Never felt so good before
You're down to my size
It's over and done
So honey, step down from your throne
That look in your eyes
Don't bother me none
Can take or leave you alone
From my window
Skys ain't grey nomore
Not now
Here's the day
That I've been waiting for
Got only one heart
One heart with no spares
Must save it for loving
Somebody who cares
So you ain't gonna bother me
No more, no more ",,,
Pink,Stupid Girls,3,2006,"Stupid girl
I've had enough of all your whining, whining
Stupid girl
I've heard enough of all your crying, crying
Don't scream at me and get all mad
He's the one who treats you oh so bad

A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh

Stupid girl
I understand that nobody understands you
Stupid girl
Just make lemonade from the lemons he always hands you
Why do you have to walk away?
Listen to these words i gotta say

A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh

Stupid girl
You brought this on yourself, so shut your mouth
My little stupid girl
Stupid girl
Stupid girl
Stupid girl
 Stupid girl
You're stuck in a rut, start clearing your head out, head out
Stupid girl
You'd better wise up and tell him to get out, get out
When are you finally gonna see
You're so much better off with me?

A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh
A-wha-a-wa oh oh oh

Stupid girl
You are the one, you are the only girl for me...",,,
Paris Paloma ,Labour,3,2024,"[Verse 1]
Why are you hangin' on
So tight
To the rope that I'm hangin' from
Off this island?
This was an escape plan (This was an escape plan)
Carefully timed it
So let me go
And dive into the waves below

[Pre-Chorus]
Who tends the orchards?
Who fixes up the gables?
Emotional torture
From the head of your high table
Who fetches the water
From the rocky mountain spring?
And walk back down again
To feel your words and their sharp sting?
And I'm gettin' fuckin' tired

[Chorus]
The capillaries in my eyes are bursting
If our love died, would that be the worst thing?
For somebody I thought was my saviour
You sure make me do a whole lot of labour
The calloused skin on my hands is crackin'
If our love ends, would that be a bad thing?
And the silence haunts our bed chamber
You make me do too much labour
 [Post-Chorus]
(You make me do too much labour)

[Verse 2]
Apologies from my tongue
Never yours
Busy lapping from flowing cup
And stabbing with your fork
I know you're a smart man (I know you're a smart man)
And weaponise
The false incompetence
It's dominance under guise

[Pre-Chorus]
If we had a daughter
I'd watch and could not save her
The emotional torture
From the head of your high table
She'd do what you taught her
She'd meet the same cruel fate
So now I've gotta run
So I can undo this mistake
At least I've gotta try

[Chorus]
The capillaries in my eyes are bursting
If our love died, would that be the worst thing?
For somebody I thought was my saviour
You sure make me do a whole lot of labour
The calloused skin on my hands is crackin'
If our love ends, would that be a bad thing?
And the silence haunts our bed chamber
You make me do too much labour
[Bridge]
All day, every day, therapist, mother, maid
Nymph, then a virgin, nurse, then a servant
Just an appendage, live to attend him
So that he never lifts a finger
24/7 baby machine
So he can live out his picket fence dreams
It's not an act of love if you make her
You make me do too much labour
All day, every day, therapist, mother, maid
Nymph, then a virgin, nurse, then a servant
Just an appendage, live to attend him
So that he never lifts a finger
24/7 baby machine
So he can live out his picket fence dreams
It's not an act of love if you make her
You make me do too much labour

[Chorus]
The capillaries in my eyes are bursting (All day, every day, therapist, mother, maid)
If our love died, would that be the worst thing? (Nymph, then a virgin, nurse, then a servant)
For somebody I thought was my saviour (Just an appendage, live to attend him)
You sure make me do a whole lot of labour (So that he never lifts a finger)
The calloused skin on my hands is crackin' (24/7 baby machine)
If our love ends, would that be a bad thing? (So he can live out his picket fence dreams)
And the silence haunts our bed chamber (It's not an act of love if you make her)
You make me do too much labour",,,
Bea Miller ,THAT BITCH,3,2019,"[Verse 1]
I've been runnin' my mouth around the corner
Chasin' it down the street (Bitch)
Cashing my words like I'm a billionaire
But I don't have food to eat
And I keep talkin' like I'm taller than the trees (Bitch)
But my eyes never see much higher than five feet
And I keep on tellin' everyone the truth
But maybe that's not the move (Bitch)
And everyone wants to hear a strong opinion
If it's the same as you (You're a crazy bitch)
And they say honesty is the best policy (Bitch)
If that were true, don't think all of my friends would hate me

[Chorus]
Society is suckin' on your dick
And since I got a pussy, I'm a bitch
And since you are a dude, yeah, you can tell the truth
But as soon as I do, I'm a bitch (You're a crazy bitch)
Society is suckin' on your dick
And since I got a pussy, I'm a bitch
And since you are a dude, yeah, you can tell the truth
But as soon as I do, I'm a bitch

[Verse 2]
There was a time, this guy, he tried to tell me
""Men can cheat, women can't"" (Bitch) (Fuck, I can't)
Then he proceeded to ask me out on a date
And I fuckin' laughed
""If you're a woman, you were made to pleasure me"" (Bitch)
But out in public, hide them shoulders underneath

[Chorus]
Society is suckin' on your dick
And since I got a pussy, I'm a bitch
And since you are a dude, yeah, you can tell the truth
But as soon as I do, I'm a bitch (You're a crazy bitch)
Society is suckin' on your dick
And since I got a pussy, I'm a bitch
And since you are a dude, yeah, you can tell the truth
But as soon as I do, I'm a bitch

[Bridge]
(If I have to be, I'ma be that bitch)
I'm that motherfuckin' bitch
(If I have to be, I'ma be that bitch)
You should be suckin' on my clit (You're a crazy bitch)
(If I have to be, I'ma be that bitch)
I said, I'm a, I'm a, I'm a bitch
(If I have to be, I'ma be that bitch)
I dare you, stop me

[Chorus]
Society is suckin' on your dick (On your dick)
And since I got a pussy, I'm a bitch (I'm a bitch)
And since you are a dude, yeah, you can tell the truth
But as soon as I do, I'm a bitch
Society is suckin' on your dick (On your dick)
And since I got a pussy, I'm a bitch (I'm a bitch)
And since you are a dude, yeah, you can tell the truth
But as soon as I do, I'm a bitch (You're a crazy bitch)
[Outro]
(If I have to be, I'ma be that bitch)
Watch me
(If I have to be, I'ma be that bitch)
I said, I'll be that bitch
So stop me
Well, that song's done
Song's done, you're done
Fuck! Fuck!
Oh my god! A banger!",,,
EMELINE,what it means to be a girl,3,2022,"[Verse 1]
Fake a smile, fake an orgasm
Fake a laugh, do it all for him
Be polite, spend the night
Call it self-defense
Got the time of his life at my own expense

[Pre-Chorus]
But even if he were my man
He'd never truly understand
What it means to be a girl

[Chorus]
Put ribbons in my curls
Then carry around a knife with my diamonds
It's psycho, we're living in a world
Where I get into clubs because I'm hot as fuck
But I don't trust what's in my cup
That's what it means to be a girl

[Verse 2]
Take his name, give your sanity
Take the blame, put his mind at ease
Trade it all for a false sense of security
Fall in love, fall in line with all his fantasies
 [Pre-Chorus]
But even if he were my man
He'd never truly understand
What it means to be a girl

[Chorus]
Put ribbons in my curls
Then carry around a knife with my diamonds
It's psycho, we're living in a world
Where I get into clubs because I'm hot as fuck
But I don't trust what's in my cup
That's what it means to be a girl

[Bridge]
Fake it till we make everyone happy but ourselves
Use us for our bodies till there's nothing but a shell
It's a mutual experience we're not supposed to tell
And don't act like you have felt
What it means to be a girl

[Chorus]
Put ribbons in my curls
Then carry around a knife with my diamonds
It's psycho, we're living in a world
Where I get into clubs because I'm hot as fuck
But I don't trust what's in my cup
That's what it means to be a girl
[Outro]
What it means to be a girl
Ah-aah
What it means to be a girl
Ah-aah",,,
Miley Cyrus ,Mother's Daughter ,3,2019,"[Verse 1]
Hallelujah, I'm a freak, I'm a freak, hallelujah
Every day of the week, I'ma do ya like I want to
I'm a Nile crocodile, a piranha

[Pre-Chorus]
Oh my God, she got the power
Oh, look at her, she got the power
So, so, so

[Chorus]
Don't fuck with my freedom
I came up to get me some
I'm nasty, I'm evil
Must be something in the water or that I'm my mother's daughter
Don't fuck with my freedom
I came up to get me some
I'm nasty, I'm evil
Must be something in the water or that I'm my mother's daughter

[Post-Chorus]
So, back up, back up, back up, back up, boy, ooh
Back up, back up, back up, back up, boy, ooh

[Verse 2]
Hallelujah, I'm a witch, I'm a witch, hallelujah
Swish swish, I'm a three-point shooter, I blow through ya
Like a hot wind out in the bayou, yah

[Pre-Chorus]
Oh my God, she got the power
Well, look at her, she got the power

[Chorus]
Don't fuck with my freedom
I came up to get me some
I'm nasty, I'm evil
Must be something in the water or that I'm my mother's daughter
Don't fuck with my freedom
I came up to get me some
I'm nasty, I'm evil
Must be something in the water or that I'm my mother's daughter

[Post-Chorus]
So, back up, back up, back up, back up, boy, ooh
Back up, back up, back up, back up, boy, ooh
Back up, back up, back up, back up, boy, ooh
Back up, back up, back up, back up, boy, ooh

[Bridge]
My mama always told me that I'd make it
That I'd make it, so I made it
I put my back into it, my heart in it
So I did it, yeah, I did it
My mama always told me that I'd make it
That I'd make it, so I made it
I put my back into it, my heart in it
So I did it, yeah, I did it
[Chorus]
Don't fuck with my freedom
I came up to get me some
I'm nasty, I'm evil
Must be something in the water or that I'm my mother's daughter

[Outro]
Don't fuck with my freedom
Oh my God, oh my God
Don't fuck with my freedom
Oh my God, oh my God
Don't fuck with my freedom
Oh my God, oh my God
Don't fuck with my freedom
Oh my God, oh my God
Swish swish, motherfucka (Ow)",,,
Hailey Orion,When Will I Be Mine?,3,2022,"[Verse 1]
Little girls can't be girls when there's men outside
I remember the first time I was sexualized
I was 8 years old riding on my bike
And I was in a swimsuit 'cause it was hot outside
I thought when I grew up into my teenage years
I would have more luck I'd have nothing to fear
Till I was assaulted and frowned upon by my peers
I was faulted for the way I appeared
I'm not suprised
Men take what isn't theirs but what pleases
Women, land, money, natives in the namе of Jesus
I'm not suprised my rights werе taken under the guise of a fetus
They want to protect the children but not when they actually need us
Not when they're gay, trans, homeless, poor or when they disagree
Only when they're in the womb but not when they're out in the streets
Abortion is illegal for poor women of color
But what would you do for your white, wealthy mother?
Would you watch her bleed out on the table from an ectopic pregnancy?
Watch her give birth to a baby from a forced rapist's seed?
What about your little sister who had sex for the first time?
Aren't contraceptives the next thing you want to take from our rights?
So she gets pregnant at 15, changes her whole life
If she survives
But she never got the chance to decide
No, I'm not suprised
My body?
It's never been mine

[Hook]
When will I be mine?
When will I be mine?
When will I be mine?
When will I be...

[Verse 2]
I'm tired of the argument, not all men
If it's not you, who is it then?
All the good men in my life fit on one hand
And for all you being quiet I wish you'd take a stand
'Cause it's not all men, but it is all women
Since 1998 it's been about 18 million
And that's just rape
Not cat calling or hands that explore
Or those who were afraid to report
You think I'm only talking 'bout Brock Turner's in alleyways?
He got 6 months then got out in 3 months anyways
Not every malicious man only attacks in the dark
Most the time it's thos you've known sinc you were in head start
It's all the boys that swore they were joking with their friends
But then grew up to view us as means to an end
It's a culture that runs deeper than we're willing to admit
It's the way girls are raised to obey and submit
It's our porn, movies, tv, songs, written in our history
Couldn't even have our own credit cards till 1970's
And look at us now changing the 14th amendment
Tryna pretend wow it'll really make a positive difference
But when we're born we're forced to look through other's eyes
How do I appear, speak, act, what is today's compromise?
I'm a whore or I'm a saint but both of those you despise
And then you want to bring a baby here and say surprise
Your body?
It's mine
[Hook]
When will I be mine?
When will I be mine?
When will I be mine?
When will I be...

[Bridge]
I spoke in a moment of frustration
But I stood in awe at all of your relation
I couldn't tell you how many times I read
When I was 8
When I was 4
When I was 10
I'm sorry you've been where I've been
And if I could be with you now I'd tell you it's okay
But with the way things are going I know we don't feel safe
So I ask you if you do relate
Scream it from the top of your lungs and don't hesitate

[Hook]
When will I be mine?
When will I be mine?
When will I be mine?
When will I be...
Mine",,,
